company_name,isin,symbol
Bharat Petroleum Corporation,INE029A01011,BPCL.NS
Bharat Rasayan,INE838B01013,BHARATRAS.NS
Bharti Airtel Ltd.,INE397D01024,BHARTIARTL.NS
Bharti Infratel Ltd,INE121J01017,INDUSTOWER.NS
Biocon Ltd.,INE376G01013,BIOCON.NS
Birla Corporation Ltd,INE340A01012,BIRLACORPN.NS
BIRLASOFT LIMITED,INE836A01035,BSOFT.NS
Blue Dart Express Ltd.,INE233B01017,BLUEDART.NS
Blue Star Ltd,INE472A01039,BLUESTARCO.BO
Bombay Burmah Trading Corporation Ltd,INE050A01025,BBTC.NS
Bosch Ltd,INE323A01026,BOSCHLTD.NS
Brigade Enterprises Ltd,INE791I01019,BRIGADE.NS
Britannia Industries Ltd,INE216A01030,BRITANNIA.NS
BSE Ltd,INE118H01025,BSE.NS
Cadila Healthcare Ltd.,INE010B01027,ZYDUSLIFE.NS
Can Fin Homes Ltd,INE477A01020,CANFINHOME.NS
Canara Bank Ltd,INE476A01014,CANBK.NS
Caplin Point Laboratories Ltd,INE475E01026,CAPLIPOINT.NS
Capri Global Capital Ltd,INE180C01026,CGCL.NS
Carborundum Universal Ltd,INE120A01034,CARBORUNIV.NS
Castrol India Ltd,INE172A01027,CASTROLIND.NS
CCL Products India Ltd,INE421D01022,CCL.NS
CEAT Ltd,INE482A01020,CEATLTD.NS
Central Bank of India Ltd,INE483A01010,CENTRALBK.NS
Central Depository Services India Ltd,INE736A01011,CDSL.NS
Century Plyboards (India),INE348B01021,CENTURYPLY.NS
Century Textiles & Industries Ltd.,INE055A01016,CENTURYTEX.BO
Cera Sanitaryware Ltd,INE739E01017,CERA.NS
CESC Ltd,INE486A01013,CESC.NS
Chalet Hotels Ltd,INE427F01016,CHALET.NS
Chambal Fertilizers & Chemicals,INE085A01013,CHAMBLFERT.NS
Cholamandalam Financial Holdings Ltd,INE149A01033,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd,INE121A01024,CHOLAFIN.NS
Cipla Ltd.,INE059A01026,CIPLA.NS
City Union Bank Ltd,INE491A01021,CUB.NS
Coal India Ltd,INE522F01014,COALINDIA.NS
Cochin Shipyard Ltd,INE704P01017,COCHINSHIP.NS
Colgate Palmolive (India),INE259A01022,COLPAL.NS
Container Corporation of India Ltd,INE111A01025,CONCOR.NS
Coromandel International Ltd,INE169A01031,COROMANDEL.NS
CREDITACCESS GRAMEEN LIMITED,INE741K01010,CREDITACC.NS
CRISIL Ltd.,INE007A01025,CRISIL.NS
Crompton Greaves Consumer Electricals Ltd,INE299U01018,CROMPTON.NS
CSB Bank,INE679A01013,CSBBANK.NS
Cummins India Ltd,INE298A01020,CUMMINSIND.NS
Cyient Ltd-B,INE136B01020,CYIENT.NS
D.B.Corp Ltd,INE950I01011,DBCORP.NS
Dabur India Ltd.,INE016A01026,DABUR.NS
Dalmia Bharat Ltd B,INE00R701025,DALBHARAT.NS
DCB Bank,INE503A01015,DCBBANK.NS
DCM Shriram Consolidated,INE499A01024,DCMSHRIRAM.NS
Deepak Nitrite Ltd,INE288B01029,DEEPAKNTR.NS
Delta Corp Ltd,INE124G01033,DELTACORP.NS
Den Networks Ltd,INE947J01015,DEN.NS
Dhanuka Agritech Ltd,INE435G01025,DHANUKA.NS
Dilip Buildcon Ltd,INE917M01012,DBL.NS
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB.NS
